,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,police,police
3,3,pensais,thought
4,4,aide,help
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,15,chaque,each
15,16,parlé,speak
16,17,arrivé,come
17,18,devrait,should
18,19,bébé,baby
19,20,longtemps,long time
20,21,heures,hours
21,22,vont,will
22,23,pendant,while
23,24,revoir,meet again
24,25,aucune,any
25,26,parle,speak
26,27,étaient,were
27,28,voici,here is
28,29,pourrais,could
29,30,affaire,case
30,31,donner,give
31,32,type,type
32,33,leurs,their
33,34,donné,given
34,35,train,train
35,36,corps,body
36,37,endroit,place
37,38,yeux,eyes
38,39,façon,way
39,40,dont,whose
40,41,trouve,find
41,42,premier,first
42,43,perdu,lost
43,44,main,hand
44,45,première,first
45,46,pouvoir,power
46,47,vieux,old
47,48,sois,be
48,49,tiens,here
49,51,tellement,so much
50,54,suite,after
51,55,pardon,sorry
52,56,venez,come
53,57,vers,towards
54,58,demandé,request
55,59,chambre,bedroom
56,60,mis,placed
57,61,belle,beautiful
58,62,droit,law
59,63,aujourd'hui,today
60,64,mari,husband
61,65,cause,cause
62,66,enfin,finally
63,67,espère,hope
64,68,eau,water
65,69,attendez,Wait
66,70,parti,left
67,71,boulot,job
68,72,terre,Earth
69,73,compte,account
70,74,loin,far
71,75,fin,end
72,76,croire,believe
73,77,chérie,sweetheart
74,78,gros,large
75,79,filles,girls
76,80,jouer,to play
77,81,bureau,office
